symbol,name2,sector
bhp,bhp group limited,non-energy minerals
rio,rio tinto limited,non-energy minerals
cba,commonwealth bank of australia.,finance
csl,csl limited,health technology
nab,national australia bank limited,finance
wbc,westpac banking corporation,finance
anz,anz group holdings limited,finance
wds,woodside energy group ltd,energy minerals
fmg,fortescue metals group ltd,non-energy minerals
mqg,macquarie group limited,finance
wes,wesfarmers limited,retail trade
tls,telstra group limited,communications
wow,woolworths group limited,retail trade
tcl,transurban group,transportation
sto,santos limited,energy minerals
col,coles group limited.,retail trade
all,aristocrat leisure limited,consumer services
s32,south32 limited,non-energy minerals
ncm,newcrest mining limited,non-energy minerals
qbe,qbe insurance group limited,finance
wtc,wisetech global limited,technology services
min,mineral resources limited,non-energy minerals
rea,rea group ltd,technology services
bxb,brambles limited,transportation
sun,suncorp group limited,finance
rhc,ramsay health care limited,health services
shl,sonic healthcare limited,health services
cpu,computershare limited.,technology services
coh,cochlear limited,health technology
nst,northern star resources ltd,non-energy minerals
asx,asx limited,finance
fph,fisher & paykel healthcare corporation limited,health technology
mez,meridian energy limited,utilities
org,origin energy limited,utilities
apa,apa group,utilities
iag,insurance australia group limited,finance
pls,pilbara minerals limited,non-energy minerals
qan,qantas airways limited,transportation
edv,endeavour group limited,retail trade
aia,auckland international airport limited,transportation
xro,xero limited,technology services
igo,igo limited,non-energy minerals
tlc,the lottery corporation limited,consumer services
sol,washington h soul pattinson & company limited,energy minerals
twe,treasury wine estates limited,consumer non-durables
reh,reece limited,distribution services
alx,atlas arteria,transportation
ozl,oz minerals limited,non-energy minerals
tpg,tpg telecom limited.,communications
sgp,stockland,finance
spk,spark new zealand limited,communications
bsl,bluescope steel limited,producer manufacturing
sek,seek limited,technology services
yal,yancoal australia limited,energy minerals
iel,idp education limited,consumer services
svw,seven group holdings limited,distribution services
wor,worley limited,industrial services
ebo,ebos group limited,health technology
ake,allkem limited,non-energy minerals
car,carsales.com limited.,technology services
mpl,medibank private limited,finance
whc,whitehaven coal limited,energy minerals
lyc,lynas rare earths limited,non-energy minerals
mcy,mercury nz limited,utilities
ipl,incitec pivot limited,process industries
ald,ampol limited,energy minerals
azj,aurizon holdings limited,transportation
ori,orica limited,process industries
dmp,domino's pizza enterprises limited,consumer services
alq,als limited,commercial services
pme,pro medicus limited,health services
cwy,cleanaway waste management limited,industrial services
evn,evolution mining limited,non-energy minerals
ift,infratil limited.,utilities
nhc,new hope corporation limited,energy minerals
ben,,finance
llc,lendlease group,industrial services
sdf,steadfast group limited,finance
cen,contact energy limited,utilities
hvn,harvey norman holdings limited,retail trade
jbh,jb hi-fi limited,retail trade
cgf,challenger limited,finance
qub,qube holdings limited,transportation
agl,agl energy limited.,utilities
a2m,the a2 milk company limited,consumer non-durables
alu,altium limited,technology services
awc,alumina limited,non-energy minerals
boq,bank of queensland limited.,finance
tne,technology one limited,technology services
ilu,iluka resources limited,non-energy minerals
vea,viva energy group limited,energy minerals
nxt,nextdc limited,technology services
pmv,premier investments limited,retail trade
amp,amp limited,finance
mts,metcash limited,distribution services
cia,champion iron limited,non-energy minerals
nhf,nib holdings limited,finance
ann,ansell limited,producer manufacturing
bld,boral limited.,non-energy minerals
fbu,fletcher building limited,non-energy minerals
bkw,brickworks limited,non-energy minerals
bpt,beach energy limited,energy minerals
cnu,chorus limited,communications
nec,nine entertainment co. holdings limited,consumer services
ltr,liontown resources limited,non-energy minerals
pru,perseus mining limited,non-energy minerals
flt,flight centre travel group limited,consumer services
smr,stanmore resources limited,energy minerals
zim,zimplats holdings limited,non-energy minerals
nwl,netwealth group limited,finance
brg,breville group limited,consumer durables
ape,eagers automotive limited,retail trade
sfr,sandfire resources limited,non-energy minerals
sgm,sims limited,non-energy minerals
nic,nickel industries limited,non-energy minerals
sul,super retail group limited,distribution services
lov,lovisa holdings limited,retail trade
rwc,reliance worldwide corporation limited,producer manufacturing
gne,genesis energy limited,utilities
dow,downer edi limited,industrial services
web,webjet limited,consumer services
tah,tabcorp holdings limited,consumer services
drr,deterra royalties limited,miscellaneous
ctd,corporate travel management limited,commercial services
chn,chalice mining limited,non-energy minerals
ora,orora limited,process industries
csr,csr limited,producer manufacturing
aiz,air new zealand limited,transportation
arb,arb corporation limited.,producer manufacturing
aub,aub group limited,finance
ifl,insignia financial ltd,finance
deg,de grey mining limited,non-energy minerals
pxa,pexa group limited,technology services
apm,apm human services international limited,commercial services
nuf,nufarm limited,process industries
bfl,bsp financial group limited,finance
tlx,telix pharmaceuticals limited,health technology
pdn,paladin energy ltd,non-energy minerals
evt,evt limited,consumer services
bap,bapcor limited,distribution services
sya,sayona mining limited,process industries
vnt,ventia services group limited,finance
lic,lifestyle communities limited,finance
pni,pinnacle investment management group limited,finance
snz,summerset group holdings limited,health services
hub,hub24 limited,technology services
ddr,dicker data limited,retail trade
cxo,core lithium ltd,non-energy minerals
dhg,domain holdings australia limited.,technology services
iph,iph limited,commercial services
hls,healius limited,health services
pdl,pendal group limited,finance
gor,gold road resources limited,non-energy minerals
sgr,the star entertainment group limited,consumer services
skc,skycity entertainment group limited,consumer services
psi,psc insurance group limited,finance
ire,iress limited,technology services
pnv,polynovo limited,health technology
cmm,capricorn metals ltd,non-energy minerals
mfg,magellan financial group limited,finance
gnc,graincorp limited,commercial services
bkl,blackmores limited,health technology
rrl,regis resources limited,non-energy minerals
ivc,invocare limited,consumer services
eld,elders limited,process industries
jlg,johns lyng group limited,industrial services
jdo,judo capital holdings limited,finance
nan,nanosonics limited,health technology
ppt,perpetual limited,finance
syr,syrah resources limited,non-energy minerals
cni,centuria capital group,finance
lfs,latitude group holdings limited,finance
bgl,bellevue gold limited,non-energy minerals
ccp,credit corp group limited,commercial services
