symbol,name2,sector
ry,royal bank of canada,finance
td,toronto-dominion bank,finance
enb,enbridge inc,industrial services
cnr,canadian national railways co,transportation
cp,canadian pacific railway ltd,transportation
cnq,canadian natural resources ltd,energy minerals
bmo,bank of montreal,finance
bns,bank of nova scotia,finance
tri,thomson-reuters corp,technology services
atd,alimentation couche-tard,retail trade
su,suncor energy inc,energy minerals
trp,tc energy corporation,industrial services
bce,bce inc,communications
ntr,nutrien ltd,process industries
cm,canadian imperial bank of commerce,finance
cve,cenovus energy inc,energy minerals
csu,constellation software inc,technology services
mfc,manulife financial corp,finance
wcn,waste connections inc (ca),transportation
t,telus corp,communications
imo,imperial oil,energy minerals
qsp.un,restaurant brands intl ltd ptnrshp,consumer services
l,loblaws companies limited,retail trade
slf,sun life financial inc,finance
fnv,franco nevada corp,non-energy minerals
ifc,intact financial corporation,finance
aem,agnico eagle mines ltd,non-energy minerals
na,national bank of ca,finance
rci.a,rogers communications inc,communications
gwo,great west lifeco inc,finance
gib.a,cgi inc,commercial services
wpm,wheaton precious metals corp,non-energy minerals
fts,fortis inc,utilities
ppl,pembina pipeline corporation,industrial services
mg,magna international inc,producer manufacturing
wn,george weston ltd,retail trade
dol,dollarama inc,retail trade
pow,power corp of canada,finance
tou,tourmaline oil corp,energy minerals
h,hydro one ltd,utilities
wsp,wsp global inc,industrial services
ffh,fairfax financial hldgs ltd,finance
fm,first quantum minerals,non-energy minerals
sjr.b,shaw communications inc,communications
mru,metro inc,retail trade
gfl,gfl environmental inc.,industrial services
sap,saputo group inc,consumer non-durables
cco,cameco corp,non-energy minerals
ivn,ivanhoe mines ltd,non-energy minerals
ema,emera inc,utilities
tpx.a,molson coors canada inc,consumer non-durables
tfii,tfi international inc,transportation
otex,open text co,technology services
ccl.a,ccl industries inc,commercial services
bep.un,brookfield renewable partners l p,utilities
arx,arc resources ltd,energy minerals
cu,canadian utilities,utilities
igm,igm financial inc,finance
emp.a,empire co,retail trade
ctc,canadian tire ltd,retail trade
npi,northland power inc,utilities
cae,cae inc,commercial services
rba,ritchie bros auctioneers,distribution services
iag,ia financial corporation,finance
tih,toromont industries ltd,distribution services
doo,brp inc,producer manufacturing
wfg,west fraser timber co,non-energy minerals
edv,endeavour mining plc,non-energy minerals
fsv,firstservice corp,finance
dsg,descartes systems group inc,technology services
tixt,telus international (cda) inc,technology services
k,kinross gold corp,non-energy minerals
yri,yamana gold inc,non-energy minerals
ac,air canada,transportation
stn,stantec inc,industrial services
x,tmx group limited,finance
efn,element fleet management corp,finance
gil,,consumer non-durables
lun,,non-energy minerals
qbr.a,quebecor inc,communications
key,keyera corporation,industrial services
ala,altagas ltd,utilities
wcp,whitecap resources inc,energy minerals
aqn,algonquin power & utilities corp,utilities
meg,meg energy corp,energy minerals
toi,topicus com inc,technology services
nvei,nuvei corporation,technology services
bto,b2gold corp,non-energy minerals
agi,alamos gold inc,non-energy minerals
bbd.a,bombardier inc,electronic technology
cigi,colliers intl group inc,finance
ftt,finning international inc,distribution services
psk,prairiesky royalty ltd,miscellaneous
onex,onex corp,finance
pki,parkland corporation,distribution services
cpg,crescent point energy corp,energy minerals
erf,enerplus corporation,energy minerals
cpx,capital power corporation,utilities
paas,pan american silver corp,non-energy minerals
atz,aritzia inc,retail trade
aco.x,atco ltd,utilities
snc,snc-lavalin group inc,industrial services
pvf.un,partners value invts lp,finance
ats,ats corporation,producer manufacturing
byd,boyd group services inc,consumer services
dfy,definity finl corp,finance
cs,capstone copper corp,non-energy minerals
pou,paramount resources limited,energy minerals
mx,methanex corp,process industries
blx,boralex inc,utilities
sgml,sigma lithium corp,non-energy minerals
kxs,kinaxis inc,technology services
pbh,premium brands hldgs corp,distribution services
lnr,linamar corp,producer manufacturing
cura,"curaleaf holdings, inc.",process industries
bhc,bausch health companies inc,health technology
