symbol,name2,sector
600519,"kweichow moutai co.,ltd.",consumer non-durables
601398,industrial and commercial bank of china limited,finance
601939,china construction bank corporation,finance
300750,contemporary amper,producer manufacturing
600036,"china merchants bank co.,limited",finance
601288,agricultural bank of china limited,finance
600941,china mobile ltd (cn),communications
601318,"ping an insurance（group） company of china, ltd.",finance
601857,petrochina company limited,energy minerals
601988,bank of china limited,finance
601628,china life insurance company limited,finance
000858,wuliangye yibin co,consumer non-durables
002594,byd company ltd,consumer durables
601088,china shenhua energy company limited,energy minerals
600028,china petroleum & chemical corporation,energy minerals
600900,"china yangtze power co.,ltd.",utilities
601888,china tourism group duty free corporation limited,retail trade
601658,"postal savings bank of china, ltd.",finance
600938,cnooc limited,energy minerals
300760,shenzhen mindray b,health technology
000333,midea group co ltd,consumer durables
601728,china telecom corporation limited,communications
601166,"industrial bank co.,ltd.",finance
603288,foshan haitian flavouring and food company ltd.,consumer non-durables
000568,luzhou lao jiao co,consumer non-durables
600809,"shanxi xinghuacun fen wine factory co.,ltd",consumer non-durables
002415,hangzhou hikvision,electronic technology
601012,longi green energy technology,electronic technology
601328,"bank of communications co.,ltd.",finance
300059,east money informa,technology services
600309,"wanhua chemical group co.,ltd.",process industries
601899,zijin mining group company limited,non-energy minerals
600030,citic securities company limited,finance
002352,s.f. holding co,transportation
000001,ping an bank,finance
603259,wuxi apptec,health technology
600276,"jiangsu hengrui pharmaceuticals co.,ltd.",health technology
002304,jiangsu yanghe bre,consumer non-durables
002714,muyuan foods co lt,process industries
300999,yihai kerry araw.h,consumer non-durables
300015,aier eye hospital,health services
600690,haier smart home,consumer durables
601816,beijing-shanghai high speed railway,transportation
601601,china pacific insurance (group),finance
002475,luxshare precision,electronic technology
601998,china citic bank corporation limited,finance
002142,bank of ningbo co.,finance
601668,china state construction engineering corporation limited,industrial services
600000,shanghai pudong development bank,finance
000002,china vanke co,finance
601319,the people's insurance company (group) of china limited,finance
601633,great wall motor company limited,consumer durables
600887,"inner mongolia yili industrial group co.,ltd",process industries
601225,shaanxi coal industry company limited,energy minerals
688235,"beigene, ltd.",health technology
600436,"zhangzhou pientzehuang pharmaceutical co.,ltd.",health technology
000651,gree elec applican,producer manufacturing
600048,poly developments and holdings group,finance
601138,foxconn industrial internet,electronic technology
601066,china securities,finance
600438,"tongwei co.,ltd",process industries
300124,shenzhen inovance,producer manufacturing
600406,nari technology,producer manufacturing
300274,sungrow power supp,electronic technology
688981,semiconductor manufacturing international corporation,electronic technology
600104,saic motor corporation limited,consumer durables
300122,chongqing zhifei b,health technology
600905,china three gorges renewables (group),utilities
600050,china united network communications limited,communications
300014,eve energy co ltd,producer manufacturing
688223,jinko solar,electronic technology
601818,china everbright bank company limited,finance
688599,trina solar,electronic technology
601111,air china limited,transportation
601919,cosco shipping holdings,transportation
600009,shanghai international airport,transportation
002459,ja solar technolog,producer manufacturing
688271,shanghai united imaging healthcare,commercial services
000725,boe technology gp,electronic technology
200725,boe technology gp,electronic technology
600585,anhui conch cement company limited,non-energy minerals
600188,yankuang energy group company limited,energy minerals
601995,china international capital corporation limited,finance
002460,ganfeng lithium gr,process industries
600031,"sany heavy industry co.,ltd",producer manufacturing
600016,china minsheng bank,finance
002466,tianqi lithium cor,process industries
601766,crrc corporation limited,producer manufacturing
000895,henan shuang inve,consumer non-durables
300979,huali industrial g,consumer non-durables
002371,naura technology g,producer manufacturing
300896,imeik technology d,process industries
688111,"beijing kingsoft office software, inc.",technology services
002812,yunnan energy new,process industries
300498,wens foodstuff gro,process industries
600019,baoshan iron & steel,non-energy minerals
000596,anhui gujing distl,consumer non-durables
200596,anhui gujing distl,consumer non-durables
