symbol,name2,sector
sap,sap se o.n.,technology services
sie,siemens ag na o.n.,health technology
dte,dt.telekom ag na,communications
alv,allianz se na o.n.,finance
mrk,merck kgaa o.n.,health technology
vow,volkswagen ag st o.n.,consumer durables
mbg,mercedes benz group ag,consumer durables
bmw,bay.motoren werke ag st,consumer durables
bayn,bayer ag na o.n.,health technology
shl,siemens health.ag na o.n.,health services
dpw,deutsche post ag na o.n.,transportation
bas,basf se na o.n.,process industries
muv2,muench.rueckvers.vna o.n.,finance
ifx,infineon tech.ag na o.n.,electronic technology
hlag,hapag-lloyd ag na o.n.,transportation
db1,deutsche boerse na o.n.,finance
rwe,rwe ag inh o.n.,utilities
hen,henkel ag+co.kgaa st o.n.,consumer non-durables
oewa,verbund ag inh. a,utilities
eoan,e.on se na o.n.,utilities
bei,beiersdorf ag o.n.,consumer non-durables
srt,sartorius ag o.n.,health technology
ads,adidas ag na o.n.,consumer non-durables
dbk,deutsche bank ag na o.n.,finance
un01,uniper se na o.n.,utilities
dtg,daimler truck hldg jge na,consumer durables
ebk,enbw energie bad.-wue. on,utilities
hnr1,hannover rueck se na o.n.,finance
vna,vonovia se na o.n.,finance
fre,fresenius se+co.kgaa o.n.,health technology
omv,omv ag,energy minerals
sy1,symrise ag inh. o.n.,process industries
enr,siemens energy ag na o.n.,producer manufacturing
dher,delivery hero se namens-aktien o.n.,retail trade
ebo,erste group bnk inh. o.n.,finance
con,continental ag o.n.,consumer durables
mtx,mtu aero engines na o.n.,electronic technology
cbk,commerzbank ag,finance
afx,carl zeiss meditec ag inhaber-aktien o.n.,health technology
tlx,talanx ag na o.n.,finance
lha,lufthansa ag vna o.n.,transportation
hei,,non-energy minerals
zal,zalando se,retail trade
bnr,brenntag se na o.n.,distribution services
fme,fresen.med.care kgaa o.n.,health services
rhm,rheinmetall ag,electronic technology
pum,puma se,consumer non-durables
kbx,knorr-bremse ag inh o.n.,producer manufacturing
evk,evonik industries na o.n.,process industries
dwni,deutsche wohnen se inh,finance
hle,hella gmbh+co. kgaa o.n.,producer manufacturing
8tra,traton se inh o.n.,consumer durables
1cov,covestro ag o.n.,process industries
o2d,telefonica dtld hldg na,communications
g1a,gea group ag,producer manufacturing
raa,rational ag,producer manufacturing
wch,wacker chemie o.n.,process industries
dws,dws group gmbh+co.kgaa on,finance
evd,cts eventim kgaa,consumer services
nem,nemetschek se o.n.,technology services
az2,andritz ag,producer manufacturing
raw,raiffeisen bk intl inh.,finance
leg,leg immobilien se na o.n.,finance
vas,voestalpine ag,non-energy minerals
fpe,fuchs petrolub na st o.n.,process industries
fra,fraport ag ffm.airport,transportation
bc8,bechtle ag inhaber-aktien o.n.,technology services
kgx,kion group ag,producer manufacturing
hot,hochtief ag,industrial services
0b2,bawag group ag,finance
tka,thyssenkrupp ag o.n.,non-energy minerals
sdf,k+s ag na o.n.,process industries
six2,sixt se st o.n.,finance
utdi,utd.internet ag na,technology services
ta1,telekom austria ag,communications
nda,aurubis ag,non-energy minerals
xd4,strabag se,industrial services
boss,hugo boss ag na o.n.,consumer non-durables
hfg,hellofresh se inh o.n.,retail trade
g24,scout24 se na o.n.,commercial services
lxs,lanxess ag,process industries
tui1,tui ag na o.n.,consumer services
vbk,verbio ver.bioenergie on,process industries
b4b,metro ag st o.n.,distribution services
evt,evotec se inh o.n.,health technology
krn,krones ag o.n.,producer manufacturing
gil,dmg mori ag o.n.,producer manufacturing
at1,"aroundtown eo-,01",finance
aixa,aixtron se namens-aktien o.n.,producer manufacturing
evn,evn ag,utilities
szu,suedzucker ag o.n.,consumer non-durables
mym,mayr-melnhof karton,process industries
fie,fielmann ag o.n.,health technology
ndx1,nordex se o.n.,producer manufacturing
suse,suse s.a. dl 1,technology services
sax,stroeer se + co. kgaa,commercial services
s92,sma solar technol.ag,producer manufacturing
wib,wienerberger,non-energy minerals
hag,hensoldt ag inh o.n.,electronic technology
ecv,encavis ag,utilities
fntn,freenet ag na o.n.,communications
vtsc,vitesco techs grp na o.n.,producer manufacturing
due,duerr ag o.n.,producer manufacturing
syab,synlab ag inh o.n.,health services
tmv,teamviewer ag npv,technology services
un9,uniqa insurance group ag,finance
waf,siltronic ag na o.n.,producer manufacturing
o3p,oesterreich. post ag,transportation
1u1,1+1 ag inh o.n.,communications
kws,kws saat kgaa inh o.n.,commercial services
psm,prosiebensat.1 na o.n.,consumer services
gxi,gerresheimer ag,process industries
cop,compugroup med. na o.n.,health services
bfsa,befesa s.a. ord. o.n.,industrial services
mvv1,mvv energie ag na o.n.,utilities
szg,salzgitter ag o.n.,non-energy minerals
dmp,dermapharm hldg inh o.n.,health technology
arl,aareal bank ag inhaber-aktien o.n.,finance
sow,software ag na o.n.,technology services
ag1,auto1 group se inh o.n.,technology services
gyc,"grand city propert.eo-,10",finance
len,lenzing ag,process industries
na9,nagarro se na o.n.,technology services
jen,jenoptik ag na o.n.,electronic technology
pfv,pfeiffer vacuum tech.o.n.,producer manufacturing
deq,deutsche euroshop na o.n.,finance
byw,baywa ag na o.n.,distribution services
stm,stabilus se inh. o.n.,producer manufacturing
pne3,pne ag na o.n.,industrial services
wuw,wuestenrot+wuertt.ag o.n.,finance
teg,tag immobilien ag,finance
aus,at+s austr.t.+systemt.,electronic technology
ysn,secunet security ag o.n.,technology services
hbh,hornbach hold.st o.n.,retail trade
fyb,formycon ag,health technology
aof,atoss software ag,technology services
gbf,bilfinger se o.n.,industrial services
wac,wacker neuson se na o.n.,producer manufacturing
ktn,kontron ag o.n,electronic technology
bsl,basler ag o.n.,electronic technology
adv,adva opt.netw.se o.n.,electronic technology
glj,grenke ag na o.n.,finance
pbb,dt.pfandbriefbk ag,finance
sae,shop apotheke europe inh.,distribution services
cok,cancom se o.n.,technology services
ekt,energiekontor o.n.,utilities
euz,eckert+ziegler ag o.n.,health technology
ce2,cropenergies ag,process industries
you,about you holding se,retail trade
elg,elmos semicond. inh o.n.,electronic technology
var1,varta ag o.n.,producer manufacturing
cec,ceconomy ag inh o.n.,retail trade
gft,gft technologies se,technology services
sll,schoeller-bleckmann oilf.,industrial services
sbs,stratec se na o.n.,health technology
agb2,agrana bet.ag inh.,consumer non-durables
kco,kloeckner + co se na o.n.,non-energy minerals
sgl,sgl carbon se o.n.,process industries
pat,patrizia se na o.n.,finance
adn1,adesso se inh o.n.,commercial services
ttk,takkt ag o.n.,distribution services
nxu,nexus ag o.n.,technology services
hhfa,hamburg.hafen log.a-sp na,transportation
nwo,new work se,commercial services
hyq,hypoport se na o.n.,technology services
t1l,s immo ag,finance
nbg6,nuernberger bet.ag vna,finance
mub,muehlbauer hold.ag o.n.,electronic technology
ftk,flatexdegiro ag na o.n.,finance
mum,mensch und masch.o.n.,distribution services
tghn,logwin ag nam. o.n.,transportation
jst,jost werke ag inh. o.n.,producer manufacturing
etg,envitec biogas o.n.,industrial services
drw8,draegerwerk st.a.o.n.,health technology
ab9,abo wind ag o.n.,industrial services
tnie,tonies se eo 1,finance
vos,vossloh ag o.n.,producer manufacturing
dic,dic asset ag na o.n.,finance
aad,amadeus fire ag,commercial services
ksb,ksb se+co.kgaa st o.n.,producer manufacturing
tima,zeal network se na o.n.,consumer services
cwc,cewe stift.kgaa o.n.,retail trade
st5,steico se,non-energy minerals
adl,adler real estate ag,finance
inh,indus holding ag,producer manufacturing
mdn,medion ag o.n.,distribution services
vih1,vib vermoegen na o.n.,finance
sis,first sensor ag o.n.,electronic technology
noej,norma group se na o.n.,producer manufacturing
ohb,ohb se o.n.,electronic technology
mlp,mlp se inh. o.n.,finance
mbb,mbb se o.n.,finance
d6h,datagroup se inh. o.n.,technology services
dban,dt.beteilig.ag na o.n.,finance
mor,morphosys ag o.n.,health technology
dez,deutz ag o.n.,producer manufacturing
abs2,porr ag,industrial services
ubk,umweltbank ag o.n.,finance
wsu,washtec ag o.n.,producer manufacturing
hdd,heidelberg.druckma.o.n.,producer manufacturing
zil2,elringklinger ag na o.n.,producer manufacturing
tpe,pva tepla ag o.n.,electronic technology
sew,semperit ag hldg,producer manufacturing
am3,slm solutions grp z.verk.,technology services
2gb,2g energy ag,utilities
ilm1,medios ag o.n.,distribution services
sfq,saf-holland se inh eo 1,producer manufacturing
bvb,borussia dortmund,consumer services
f3c,sfc energy ag,electronic technology
bdt,bertrandt ag o.n.,industrial services
ins,instone real est.grp o.n.,finance
pby,publity ag na o.n.,finance
vh2,fr.vorwerk grp se inh on,industrial services
h2o,enapter ag inh o.n.,utilities
htg,hometogo se eo 1,finance
kta,knaus ag inh o.n.,consumer durables
mux,mutares kgaa na o.n.,finance
ar4,aurelius eq.opp. o.n.,finance
haw,hawesko holding inh o.n.,retail trade
psan,psi software ag na o.n.,technology services
nvm,novem group s.a. eo 1,distribution services
aein,allgeier se na o.n.,technology services
hrpk,7c solarparken ag o.n.,utilities
cea,friwo ag o.n.,producer manufacturing
vqt,va-q-tec ag na o.n.,industrial services
vqt0,va-q-tec ag na z.umt.,industrial services
sur,surteco group se inh o.n.,non-energy minerals
smhn,suess microtec se na o.n.,electronic technology
bij,bijou brigitte o.n.,consumer durables
gks,gk software inh o.n.,technology services
psg,pharmasgp holding se o.n.,health technology
t9z,zumtobel group ag inh. a,producer manufacturing
1fc,facc ag inh.akt.,electronic technology
lpk,lpkf laser+electr.inh on,producer manufacturing
skb,koenig + bauer ag st o.n.,producer manufacturing
ivu,ivu traffic techn.ag o.n.,technology services
uzu,uzin utz se o.n.,process industries
ixx,init innovation o.n.,electronic technology
gsc1,gesco se na o.n.,non-energy minerals
ed4,"edag engineering g.sf-,04",industrial services
gfg,"global fashion grp eo-,01",retail trade
nb2,northern data ag inh o.n.,technology services
dmre,demire dt.mts.re ag,finance
pcz,procredit hldg ag na eo 5,finance
ntg,nabaltec ag inh.,process industries
h24,home24 se inh o.n.,retail trade
hpha,heidelberg pharma ag o.n.,health technology
s9i,stemmer imaging ag inh on,consumer durables
2hra,h+r kgaa inh. o.n.,process industries
roi,rosenbauer intl,consumer durables
jdc,jdc group ag o.n.,finance
ktek,katek se inh o.n.,electronic technology
bkht,brockhaus techn. na o.n.,finance
osp2,usu software ag,technology services
m7u,nynomic ag inh o.n.,electronic technology
aag,aumann ag inh o.n.,producer manufacturing
shf,snp schneid.-neureit.o.n.,commercial services
wew,westwing group inh. o.n.,retail trade
dam,data modul ag o.n.,electronic technology
m5z,manz ag,electronic technology
mxhn,max automation se na o.n.,producer manufacturing
adj,ado properties s.a. actions nominatives o.n.,finance
pyr,pyrum innov.ag na o.n.,distribution services
abo,clearvise ag inh o.n.,utilities
leo,leoni ag na o.n.,producer manufacturing
gmm,grammer ag o.n.,producer manufacturing
act,alzchem group ag inh o.n.,process industries
ttr1,technotrans se na o.n.,producer manufacturing
c3ry,cherry se o.n.,electronic technology
cliq,cliq digital ag o.n.,technology services
bike,bike24 hldg o.n.,retail trade
ibu,ibu-tec adv.mater. inh.on,process industries
b5a,bauer ag,industrial services
lei,leifheit ag o.n.,consumer durables
uuu,3u holding ag,producer manufacturing
mrx,mister spex se inh o.n.,retail trade
hxck,ernst russ ag na o.n.,transportation
crzk,cr capital ag inh o.n.,finance
dfv,dfv dt.famil.vers. o.n.,finance
m12,m1 kliniken ag o.n.,health services
bnn,brain biotec na o.n.,health technology
hp3a,ringmetall se na o.n.,producer manufacturing
hnl,dr. hoenle ag o.n.,producer manufacturing
nfn,nfon ag inh o.n.,technology services
swa,schloss wachenheim ag o.n,consumer non-durables
ksc,kps ag na o.n.,technology services
dr0,dt.rohstoff ag na o.n.,energy minerals
qby,q.beyond ag na o.n.,technology services
e4c,ecotel communication ag,communications
iur,kap ag inh o.n.,producer manufacturing
lqag,laiqon ag inh o.n.,miscellaneous
def,defama ag,finance
ade,bitcoin group se inhaber-aktien o.n.,finance
efit,"easymotionskin tec sf-,1",consumer services
exc,exceet group sca red. a,electronic technology
p4n,polytec hldg ag inh. eo 1,producer manufacturing
v3v,vita 34 ag na o.n.,health technology
b7e,blue cap o.n.,finance
csh,cenit ag o.n.,electronic technology
mbk,merkur priv.bk inh o.n.,finance
o2c,petro welt technologie.ag,industrial services
m0yn,mynaric ag na o.n.,electronic technology
pwo,progress-werk oberk. o.n.,producer manufacturing
lus1,lang + schwarz ag na o.n.,finance
z29,029 group se inh o.n.,technology services
b8f,biofrontera ag na o.n.,health technology
nf4,netfonds ag vna o.n.,finance
lik,limes schlossklinik. o.n.,health services
mzx,masterflex o.n.,producer manufacturing
3it,audius se inh o.n.,technology services
fev,fortec elektro. o.n.,distribution services
pzs,scherzer u. co. ag o.n.,finance
n4g,the naga group ag na o.n.,commercial services
sgf,sgt grm.pe kgaa na o.n.,finance
a4y,accentro r.est.ag o.n.,finance
hgea,hgears ag inh o.n.,consumer durables
exl,exasol ag na o.n.,technology services
