symbol,name2,sector
700,tencent holdings limited,technology services
9988,alibaba group holding ltd,retail trade
1398,industrial & commercial bk of china,finance
939,china construction bank,finance
3968,china merchants bank co ltd,finance
1288,agricultural bank of china,finance
5,hsbc holdings plc,finance
941,china mobile ltd (hk),communications
2318,ping an insurance(group)co.of china,finance
857,petrochina co,energy minerals
3988,bank of china ltd,finance
1299,aia group limited,finance
3690,meituan,transportation
2628,china life insurance co,finance
1211,byd company limited,consumer durables
9618,jd.com inc,retail trade
1088,china shenhua energy company ltd,energy minerals
386,china petroleum & chemical corp,energy minerals
1880,china tourism group duty free corp,retail trade
1658,postal savings bank of china co,finance
883,cnooc limited,energy minerals
9633,nongfu spring co ltd,consumer non-durables
388,hong kong exchanges & clearing,finance
728,china telecom corporation,communications
9999,netease inc,technology services
3328,bank of communications co ltd,finance
9888,baidu inc,technology services
2899,zijin mining group co.ltd,non-energy minerals
6030,citic securities co ltd,finance
2378,prudential,finance
1876,budweiser brewing company apac ltd,consumer non-durables
2359,wuxi apptec co ltd,health technology
16,sun hung kai properties ltd,finance
2020,anta sports products,consumer non-durables
2269,wuxi biologics (cayman) inc,health technology
1024,kuaishou technology,technology services
1810,xiaomi corporation,electronic technology
2388,boc hong kong(hldgs) ltd,finance
6690,haier smart home co ltd,consumer durables
1109,china resources land,finance
945,manulife financial corp,finance
2601,china pacific insurance (group) co.,finance
66,mtr corporation ltd,transportation
267,citic limited,finance
998,china citic bank corporation ltd,finance
11,hang seng bank,finance
1928,sands china ltd,consumer services
2202,china vanke co. ltd,finance
1339,the people s insurance company grou,finance
27,galaxy entertainment group limited,consumer services
688,china overseas land & investmnts,finance
2333,great wall motor company limited,consumer durables
6160,beigene ltd,health technology
6066,csc financial co ltd,finance
6618,jd health international inc,health services
981,semiconductor manufacturing intl co,electronic technology
291,china resources beer (holdings) co,consumer non-durables
2888,standard chartered plc,finance
2423,ke holdings inc,technology services
2331,li ning co ltd,consumer non-durables
9987,yum china holdings inc,consumer services
1,ck hutchison holdings limited,retail trade
669,techtronic industries co,consumer durables
2057,zto express (cayman) inc,transportation
6818,china everbright bank co ltd,finance
9961,trip com group ltd,consumer services
1113,ck asset holdings ltd,finance
753,air china ltd,transportation
1919,cosco shipping holdings,transportation
914,anhui conch cement,non-energy minerals
1171,yankuang energy group company ltd,energy minerals
1929,chow tai fook jewellery group ltd,consumer durables
3908,china intl capital corporation ltd,finance
1772,ganfeng lithium group co ltd,process industries
2328,picc property & casualty co,finance
1988,china minsheng banking corp,finance
2015,li auto inc,consumer durables
762,china unicom (hong kong) limited,communications
