symbol,name2,sector
alvo,alvotech,health technology
marel,marel hf.,producer manufacturing
isb,islandsbanki hf.,finance
svn,sildarvinnslan hf.,consumer non-durables
arion,arion banki hf.,finance
brim,brim hf.,process industries
eim,eimskipafelag islands hf.,transportation
kvika,kvika banki hf.,finance
haga,hagar hf.,retail trade
iceair,icelandair group hf.,transportation
hamp,hampiðjan hf.,producer manufacturing
reitir,reitir fasteignafelag hf,finance
festi,festi hf.,retail trade
reginn,reginn hf.,finance
siminn,siminn hf.,communications
sjova,sjova-almennar tryggingar hf.,finance
eik,eik fasteignafelag hf,finance
vis,vatryggingafelag islands hf.,finance
olgerd,olgerðin egill skallagrimsson hf.,consumer non-durables
skel,skel fjarfestingafelag hf.,energy minerals
icesea,iceland seafood international hf.,consumer non-durables
kald,kaldalon hf.,finance
nova,nova klubburinn hf.,retail trade
syn,syn hf.,communications
origo,origo hf.,distribution services
play,fly play hf.,transportation
solid,solid clouds hf.,technology services
klapp_b,klappir graenar lausnir hf. b,technology services
sfs_b,slaturfelag suðurlands svf.,distribution services
