symbol,name2,sector
reliance,reliance inds,energy minerals
tcs,tata consultancy s,technology services
hdfcbank,hdfc bank ltd.,finance
infy,infosys ltd.,technology services
hindunilvr,hindustan unilever ltd.,consumer non-durables
icicibank,icici bank ltd.,finance
sbin,state bank of india,finance
hdfc,housing devel fin,finance
lici,life insurance corporation of,finance
airtelpp,bharti airtel ltd.,communications
airtelpp.e1,bharti rs. 1.25 ppd up,communications
bhartiartl,bharti airtel ltd,communications
atgl,adani total gas limited,utilities
itc,itc ltd.,consumer non-durables
adanient,adani enterprises ltd.,distribution services
bajfinance,bajaj finance limited,finance
kotakbank,kotak mahindra bank ltd.,finance
lt,larsen & toubro ,industrial services
adanigreen,adani green energy limited,utilities
adanitrans,adani transmission,utilities
hcltech,hcl technologies,technology services
axisbank,axis bank,finance
asianpaint,asian paints ltd.,process industries
maruti,maruti suzuki india ltd.,consumer durables
sunpharma,sun pharmaceutical industries,health technology
dmart,avenue supermarts limited,retail trade
wipro,wipro ltd,technology services
bajajfinsv,bajaj finserv ltd.,finance
titan,titan company ltd,consumer durables
ultracemco,ultratech cement ltd.,non-energy minerals
ongc,oil & natural gas,energy minerals
nestleind,nestle india ltd.,consumer non-durables
jswsteel,jsw steel ltd.,non-energy minerals
adaniports,adani port special,transportation
m_m,mahindra &mahindra,consumer durables
ntpc,ntpc ltd.,utilities
hindzinc,hindustan zinc,non-energy minerals
powergrid,power grid corp,utilities
tatasteel,tata steel ltd,non-energy minerals
tatamtrdvr,tata motors ltd - dvr,consumer durables
tatamotors,tata motors ltd.,consumer durables
coalindia,coal india ltd.,energy minerals
sbilife,sbi life insurance company lim,finance
hdfclife,hdfc life insurance company li,finance
ltim,ltimindtree limited,commercial services
pidilitind,pidilite industries ltd.,process industries
vedl,vedanta ltd,non-energy minerals
ioc,indian oil corporation ltd.,energy minerals
hindalco,hindalco inds,non-energy minerals
grasim,grasim industries,non-energy minerals
siemens,siemens india ltd,producer manufacturing
adanipower,adani power ltd,utilities
britannia,britannia inds,consumer non-durables
bajaj_auto,bajaj auto ltd.,consumer durables
ambujacem,ambuja cements ltd,non-energy minerals
techm,tech mahindra ltd.,technology services
dabur,dabur india ltd,consumer non-durables
godrejcp,godrej consumer products ltd.,consumer non-durables
indusindbk,indusind bank ltd.,finance
dlf,dlf ltd.,finance
bankbaroda,bank of baroda,finance
divislab,divi's laboratorie,health technology
shreecem,shree cement ltd,non-energy minerals
eichermot,eicher motors,consumer durables
cipla,cipla ltd.,health technology
hal,hindustan aeronautics limited,electronic technology
indigo,interglobe aviation limited,transportation
vbl,varun beverages limited,consumer non-durables
bpcl,bharat petrol corp,energy minerals
havells,havells india ltd.,producer manufacturing
bel,bharat electronics ltd.,electronic technology
sbicard,sbi cards & paymen,finance
awl,adani wilmar limited,process industries
drreddy,dr reddys labs,health technology
icicipruli,icici prudential life insuranc,finance
tataconsum,tata consumer products limited,consumer non-durables
tatapower,tata power co ltd,utilities
marico,marico ltd,consumer non-durables
gail,gail india ltd,utilities
srf,srf ltd,process industries
pnb,punjab national bank,finance
bajajhldng,bajaj holdings & investment lt,finance
apollohosp,apollo hospitals.,health services
abb,abb india ltd,producer manufacturing
jindalstel,jindal steel & pwr,non-energy minerals
mcdowell_n,united spirits,consumer non-durables
unitdspr,united spirits ltd.,consumer non-durables
iob,indian overseas bank,finance
idbi,idbi bank ltd,finance
canbk,canara bank,finance
yesbank,yes bank,finance
cholafin,cholamandalam investment and f,finance
icicigi,icici lombard general insuranc,finance
upl,upl ltd,process industries
unionbank,union bank of india,finance
heromotoco,hero motocorp ltd.,consumer durables
bergepaint,berger paints ind,process industries
torntpharm,torrent pharmaceuticals ltd.,health technology
lodha,macrotech developers limited,finance
irctc,indian railway catering and to,consumer services
boschltd,bosch ltd.,producer manufacturing
