symbol,name2,sector
lumi,leumi,finance
nice,nice,technology services
poli,poalim,finance
teva,teva,health technology
icl,icl,process industries
mztf,mizrahi tefahot,finance
azrg,azrieli group,finance
eslt,elbit systems,electronic technology
dsct,discount,finance
bezq,bezeq,communications
fibi,fibi bank,finance
mlsr,melisron,finance
strs,strauss group,consumer non-durables
amot,amot,finance
spen,shapir eng,non-energy minerals
ilco,israel corp,process industries
phoe,phoenix,finance
nwmd,newmed energy ltd,energy minerals
big,big,industrial services
opce,opc energy,utilities
mvne,mivne,finance
enlt,enlight energy,utilities
arpt,airport city,finance
harl,harel,finance
eltr,electra,industrial services
alhe,alony hetz,finance
ashg,ashtrom group,industrial services
dlekg,delek group,energy minerals
enrg,energix,utilities
gvym,gav-yam lands corp,finance
skbn,shikun & binui,industrial services
sae,shufersal,retail trade
ftal,fattal,consumer services
fibih,fibi holdings,finance
isro,isrotel,consumer services
mgdl,migdal insur.,finance
mtrx,matrix,technology services
mtrn,maytronics,consumer durables
elco,elco,producer manufacturing
mmhd,menora miv hld,finance
lapd,lapidoth cap.,finance
ptnr,partner,communications
fox,fox,consumer non-durables
pzol,paz oil,process industries
dimri,dimri,finance
afpr,afi properties,finance
clis,clal insurance,finance
alrpr,alrov propert,finance
forty,formula,technology services
dlea,delek automotiv,distribution services
hlan,hilan,technology services
orl,bazan,energy minerals
isrs,isras,finance
delg,delta-galil ind,consumer non-durables
mgor,mega or,commercial services
one,one technologi,technology services
nofr,o.y. nofar energy,utilities
smt,summit,finance
eqtl,equital,finance
rmli,rami levi,retail trade
tdrn,tadiran holding,producer manufacturing
isra,isramco negev 2,energy minerals
rtls,retailors ltd,distribution services
arad,arad investment,industrial services
iscn,israel canada,finance
vrds,veridis environmen,transportation
vilr,villar,consumer durables
sben,shikun & binui ene,industrial services
blsr,blue sq real es,finance
yhnf,yochananof,retail trade
dnya,dnya cebus,consumer durables
danh,dan hotels,consumer services
sano1,sano,consumer non-durables
cel,cellcom,communications
azrm,azorim,consumer durables
mgic,magic,technology services
rati,ratio energies ltd,energy minerals
nyax,nayax ltd,technology services
acro,kvutzat acro ltd,finance
ecp,electra co pr,producer manufacturing
iscd,isracard,finance
infn,infinya ltd,process industries
gct,g city ltd,finance
afre,africa residenc,finance
mske,meshek engy renewa,utilities
elcre,electra real e.,finance
crsr,carasso real estat,consumer durables
tase,tase,finance
prsk,prashkovsky,consumer durables
crsm,carasso motors ltd,distribution services
bcom,b communication,communications
ntml,neto malinda,distribution services
ildc,land dev,finance
ishi,israel shipyards,producer manufacturing
trpz,turpaz industries,consumer non-durables
nvpt,navitas petroleum,energy minerals
inrm,inrom const,process industries
scop,scope,distribution services
ptbl,propert & buil,finance
difi,direct finance of,finance
aplp,apollo power,utilities
nfta,naphtha,energy minerals
aura,aura,consumer durables
dorl,doral gp renewable,utilities
mltm,malam team,technology services
dane,danel,health services
plsn,plasson indus,producer manufacturing
dral,dor alon,energy minerals
ies,ies,finance
nvlg,novolog,distribution services
argo,argo properties nv,finance
ista,issta,consumer services
duni,duniec,consumer durables
gnrs,generation cap,miscellaneous
lvpr,levinstein prop,consumer durables
mdtr,meditr tower,consumer durables
tlsy,telsys,electronic technology
idin,idi insur,finance
hgg,hagag,finance
vtna,vitania,finance
dipl,diplomat holdings,distribution services
levi,levinstein eng,finance
ackr,ackerstein group l,non-energy minerals
rmon,rimon consulting &,industrial services
fbrt,fms,consumer durables
ilx,ilex medical,distribution services
ard,arad,producer manufacturing
dlti,delta israel brand,consumer non-durables
krur,kerur,consumer non-durables
lahav,lahav,finance
polp,polyram plastic in,process industries
elcp,electra power,utilities
nawi,nawi,finance
hron,hiron,finance
ibi,ibi inv house,finance
