symbol,name2,sector
enel,enel,utilities
race,ferrari,consumer durables
eni,eni,energy minerals
stla,stellantis,consumer durables
isp,intesa sanpaolo,finance
ucg,unicredit,finance
g,generali ass,finance
cnhi,cnh industrial,producer manufacturing
ten,tenaris,non-energy minerals
srg,snam,utilities
monc,moncler,consumer non-durables
trn,terna,utilities
pst,poste italiane,finance
cpr,campari,consumer non-durables
nexi,nexi,technology services
fbk,finecobank,finance
pry,prysmian,producer manufacturing
inw,inwit,communications
rec,recordati ord,health technology
mb,mediobanca,finance
ednr,edison r,utilities
dia,diasorin,health technology
us,unipolsai,finance
bmed,banca mediolanum,finance
amp,amplifon,distribution services
bami,banco bpm,finance
tit,telecom italia,communications
ip,interpump group,producer manufacturing
ldo,leonardo,electronic technology
bc,brunello cucinelli,consumer non-durables
pirc,pirelli & c,consumer durables
rey,reply,commercial services
ig,italgas,utilities
a2a,a2a,utilities
erg,erg,utilities
tpro,technoprobe,electronic technology
her,hera,utilities
bgn,banca generali,finance
bre,brembo,producer manufacturing
bzu,buzzi unicem,non-energy minerals
dlg,de'longhi,consumer durables
uni,unipol,finance
bpe,,finance
azm,azimut,finance
aris,ariston holding,producer manufacturing
ace,acea,utilities
sfer,salvatore ferragamo,consumer non-durables
bmps,banca monte paschi siena,finance
agl,autogrill spa,consumer services
spm,saipem,industrial services
ce,credem,finance
crl,carel industries,producer manufacturing
enav,enav,transportation
ire,iren,utilities
ivg,iveco group,consumer durables
ses,sesa,distribution services
sol,sol,process industries
bpso,bca pop sondrio,finance
tgym,technogym,consumer durables
arn,alerion,utilities
wbd,webuild,industrial services
bff,bff bank,finance
dan,danieli & c,producer manufacturing
srs,saras,energy minerals
rway,rai way,consumer services
zv,zignago vetro,process industries
sl,sanlorenzo,consumer durables
tip,tamburi,finance
anim,anima holding,finance
mfea,mfe a,consumer services
icos,intercos,consumer non-durables
eln,el.en,health technology
scf,salcef group,producer manufacturing
tnxt,tinexta,technology services
pia,piaggio,consumer durables
mt,maire tecnimont,industrial services
mol,mutuionline,commercial services
itm,italmobiliare,consumer non-durables
tod,tod's,consumer non-durables
cem,cementir holding,non-energy minerals
fct,fincantieri,producer manufacturing
marr,marr,distribution services
juve,juventus fc,consumer services
gvs,gvs,electronic technology
com,comer industries,producer manufacturing
if,banca ifis,finance
bfg,b.f,process industries
dgv,digital value,technology services
dnr,industrie de nora,process industries
iot,seco,electronic technology
ovs,ovs,retail trade
sfl,safilo group,health technology
ilty,illimity bank,finance
av,antares vision,electronic technology
dov,dovalue,finance
phn,pharmanutra,health technology
luve,luve,producer manufacturing
asc,ascopiave,utilities
wiit,wiit,technology services
dal,datalogic,electronic technology
sg,saes getters,producer manufacturing
cmb,cembre,electronic technology
pvn,piovan,producer manufacturing
mn,mondadori edit,consumer services
dis,d'amico,transportation
cir,cir,producer manufacturing
gpi,gpi,commercial services
bdb,bco desio brianza,finance
calt,caltagirone,non-energy minerals
phil,philogen,health technology
ac5,acinque,utilities
bss,biesse,producer manufacturing
dea,dea capital,finance
fila,fila,producer manufacturing
rcs,rcs mediagroup,consumer services
prt,esprinet,distribution services
seri,seri industrial,utilities
ivs,ivs group,retail trade
ghc,garofalo health care,health services
dib,digital bros,technology services
ecnl,aquafil,process industries
fum,franchi umberto marmi,non-energy minerals
tisg,the italian sea group,consumer durables
iwb,italian wine brands,consumer non-durables
adb,aeroporto guglielmo marconi di bologna,transportation
ors,orsero,distribution services
pri,prima industrie,electronic technology
avio,avio,electronic technology
ban,basicnet,commercial services
itd,intred,communications
som,somec,consumer durables
rn,risanamento,finance
cy4,cy4gate,technology services
fm,fiera milano,commercial services
geo,geox,consumer non-durables
tya,toscana aeroporti,transportation
cai,,consumer services
em,emak,consumer durables
ff,fine foods & pharmaceuticals ntm,health technology
fnm,fnm,transportation
elc,elica,consumer durables
sab,sabaf,consumer durables
kme,kme group,non-energy minerals
nwl,newlat food,consumer non-durables
revo,revo insurance,finance
sck,sciuker frames,producer manufacturing
equi,equita group,finance
inc,innovatec,industrial services
abt,abitare in,finance
txt,txt e-solutions,technology services
sit,sit,producer manufacturing
masi,masi agricola,consumer non-durables
ims,immsi,consumer durables
gth,greenthesis,industrial services
bec,b&c speakers,consumer durables
indb,indel b,producer manufacturing
ge,gefran,electronic technology
rfg,racing force,producer manufacturing
lr,landi renzo,producer manufacturing
pro,bca profilo,finance
bst,banca sistema,finance
aef,aeffe,consumer non-durables
tsl,tessellis s p a,communications
mit,mittel,finance
edac,ediliziacrobatica,consumer durables
so,sogefi,producer manufacturing
aiw,almawave,technology services
ud,unidata,communications
ojm,openjobmetis,commercial services
por,portobello,commercial services
eth,eurotech,electronic technology
dth,defence tech holding,technology services
gsp,gas plus,utilities
ced,caltagirone edit,consumer services
cns,civitanavi systems,electronic technology
vls,valsoia,consumer non-durables
mdc,medica,health technology
ala,ala,commercial services
ptr,pattern,consumer non-durables
pq,piquadro,consumer durables
cyb,cyberoo,technology services
ib,iniziative bresciane,utilities
rlt,relatech,technology services
far,farmae,retail trade
dig,digital360,commercial services
tes,tesmec,producer manufacturing
aed,aedes,finance
fnl,finlogic,process industries
dox,doxee,technology services
int,intermonte partners sim,finance
1call,meglioquesto,technology services
ieg,italian exhibition group,commercial services
gbus,gibus,producer manufacturing
cosmo,farmacosmo,technology services
omer,omer,producer manufacturing
tfi,trevi fin ind,industrial services
seb,sebino,producer manufacturing
rdue,erredue,producer manufacturing
pinf,pininfarina spa,consumer durables
cult,culti milano,consumer non-durables
ssl,s.s. lazio,consumer services
b,bastogi spa,finance
xpr,exprivia,technology services
reevo,reevo,technology services
os,officina stellare,electronic technology
cell,cellularline,consumer durables
1time,compagnia dei caraibi,distribution services
zuc,zucchi,consumer durables
tko,take off,retail trade
grow,growens,technology services
evs,eviso,utilities
gab,gabetti,finance
bri,brioschi,finance
cfl,cofle,producer manufacturing
irc,irce,producer manufacturing
be,beghelli,producer manufacturing
vnt,vantea smart,technology services
env,enervit,health technology
autme,autostrade merid,transportation
pws,powersoft,electronic technology
esau,esautomotion,producer manufacturing
svs,svas biosana,health technology
osa,osai automation system,producer manufacturing
ilp,,producer manufacturing
cov,cover 50,consumer non-durables
fire,bifire,process industries
poz,pozzi milano,consumer durables
bia,bialetti industrie,consumer durables
ie,,consumer services
aton,aton green storage,producer manufacturing
she,ir pharma group,health technology
maps,maps,technology services
igv,i grandi viaggi,consumer services
prl,pierrel,health technology
icf,industrie chimiche forestali,process industries
agp,altea green power,utilities
cli,centrale del latte d'italia,consumer non-durables
plc,plc,industrial services
exai,expert.ai,technology services
sri,servizi italia,commercial services
dm,digital magics,finance
nsp,neosperience,technology services
dgt,digitouch,commercial services
eck,ecosuntek,utilities
gral,grifal,process industries
npi,notorious pictures,consumer services
cml,comal,electronic technology
s24,il sole 24 ore,consumer services
tb,triboo,technology services
core,allcore,commercial services
bo,,finance
alw,algowatt,technology services
euk,eukedos,health services
gis,gismondi 1754,consumer durables
mft,matica fintec,electronic technology
s3d,solid world group,distribution services
gg,giglio group,consumer services
biro,estrima,consumer durables
eems,eems,electronic technology
mtv,mondo tv,consumer services
nus,nusco,producer manufacturing
cle,class editori,consumer services
fos,fos,technology services
eles,eles,commercial services
cla,clabo,producer manufacturing
web,websolute,commercial services
dba,dba group,industrial services
esi,esi,utilities
eva,askoll eva,consumer durables
ldb,lindbergh,transportation
itw,it way,distribution services
abs,arterra bioscience,health technology
circ,circle,commercial services
nrst,neurosoft,technology services
twl,trawell co,transportation
erfo,laboratorio farmaceutico erfo,health technology
cnf,conafi,finance
csp,csp int ind calze,consumer non-durables
cfv,confinvest,distribution services
cdg,casta diva group,commercial services
bell,bellini nautica,retail trade
dit,destination italia,consumer services
fde,frendy energy,utilities
mon,,consumer services
hqf,high quality food,consumer non-durables
alf,alfonsino,transportation
sos,sostravel.com,technology services
ftc,finanza.tech,finance
sof,softlab,technology services
abtg,alfio bardolla,commercial services
fda,fidia,producer manufacturing
fnx,fenix entertainment,consumer services
ubm,ulisse biomed,health technology
fcm,friulchem,health technology
rdf,redelfi,commercial services
aga,agatos,utilities
go,go internet,communications
gamb,gambero rosso,consumer services
cia,cia,finance
ntw,netweek,consumer services
epr,eprice,retail trade
icc,international care company,health services
jnx,jonix,producer manufacturing
msu,mondo tv suisse,consumer services
prm,prismi,commercial services
ysft,softec,commercial services
amb,,commercial services
u24,ucapital24,technology services
met,met.extra group,finance
iig,italia independent,consumer non-durables
casa,casasold,finance
mtf,mondo tv france,consumer services
geq,gequity,finance
bie,bioera,consumer non-durables
illa,illa,consumer durables
tlsg,the lifestyle group,finance
ve,visibilia editore,consumer services
ki,ki group,distribution services
xbrmib,lyxor ftsemib dai -2x xbr ucits etf acc etf,miscellaneous
jr15,jpm eur crp bd 1-5 res en esg ucits etf etf,miscellaneous
famamw,fineco msci wrd metal n mining ucits etf etf,—
itek,han-gins tech megatrend eql wt ucits etf etf,miscellaneous
sbb,sababa security,technology services
emul,ishares msci emu large cap ucits etf acc etf,miscellaneous
xgdu,xtrackers ie physical gold etc etf,miscellaneous
use3,wisdomtree short usd long eur 3x daily etf,miscellaneous
spx3l,sg etn daily long +3x s&p 500 etf,—
