symbol,name2,sector
7203,toyota motor corp,consumer durables
6758,sony group corporation,electronic technology
6861,keyence corp,electronic technology
9432,nippon tel & tel corp,communications
8306,mitsubishi ufj financial group inc.,finance
9984,softbank group corp,communications
9433,kddi corporation,communications
4568,daiichi sankyo company limited,health technology
9983,fast retailing co ltd,retail trade
8316,sumitomo mitsui financial group inc.,finance
8035,tokyo electron,producer manufacturing
9434,softbank corp.,communications
6098,recruit holdings co ltd,technology services
4063,shin-etsu chemical co,process industries
4502,takeda pharmaceutical co ltd,health technology
4661,oriental land co,consumer services
7974,nintendo co ltd,consumer durables
8058,mitsubishi corp,distribution services
6367,daikin industries,producer manufacturing
8031,mitsui & co,process industries
8001,itochu corp,distribution services
6501,hitachi ltd.,producer manufacturing
4519,chugai pharmaceutical co,health technology
8766,tokio marine holdings inc,finance
3382,seven & i holdings co ltd,retail trade
7267,honda motor co,consumer durables
6902,denso corp,producer manufacturing
8411,mizuho financial group,finance
7741,hoya corp,health technology
6981,murata manufacturing co,electronic technology
2914,japan tobacco inc,consumer non-durables
7182,japan post bank co ltd,finance
6594,nidec corporation,producer manufacturing
6954,fanuc corporation,producer manufacturing
6273,smc corp,producer manufacturing
6178,japan post hldgs co ltd,finance
6702,fujitsu,technology services
4503,astellas pharma,health technology
5108,bridgestone corp,consumer durables
9022,central japan railway co,transportation
7733,olympus corporation,health technology
8750,dai-ichi life holdings inc,finance
8113,unicharm corp,consumer non-durables
7751,canon inc,electronic technology
6301,komatsu,producer manufacturing
6503,mitsubishi electric corp,producer manufacturing
8053,sumitomo corp,process industries
4689,z holdings corporation,technology services
4543,terumo corp,health technology
9020,east japan railway co,transportation
9613,ntt data corp,commercial services
4901,fujifilm holdings corporation,consumer durables
6752,panasonic corporation,consumer durables
4612,nippon paint holdings co ltd,process industries
8002,marubeni corp,distribution services
8591,orix corporation,finance
4911,shiseido company limited,consumer non-durables
3659,nexon co ltd,technology services
2413,m3 inc,technology services
4452,kao corp,consumer non-durables
