symbol,name2,sector
walmex,wal-mart de mexico sab de cv,retail trade
amx/a,america movil sab de cv,communications
gmexico/b,grupo mexico sab de cv,non-energy minerals
gfnorte/o,grupo financiero banorte,finance
bimbo/a,grupo bimbo sab de cv,consumer non-durables
femsa/ub,fomento economico mexicano sab de c,consumer non-durables
ac,arca continental sab de cv,consumer non-durables
gfinbur/o,grupo financiero inbursa sab de cv,finance
elektra,grupo elektra sab de cv,retail trade
gcarso/a1,grupo carso sab de cv,retail trade
gmxt,gmexico transportes sab de cv,transportation
gap/b,gpo aeroportuario del pacifico sab,transportation
livepol/1,el puerto de liverpool sab de cv,retail trade
cuervo,becle sab de cv,consumer non-durables
asur/b,gpo aeroportuario del sureste sab,transportation
pe_oles,industrias penoles s.a.b. de c.v.,non-energy minerals
simec/b,grupo simec sab de cv,non-energy minerals
kimber/a,kimberly-clark de mexico sab de cv,consumer non-durables
gruma/b,gruma sab de cv,consumer non-durables
ich/b,industrias ch sab de cv,non-energy minerals
chdraui/b,grupo comercial chedraui sab de cv,retail trade
bbajio/o,banco del bajio,finance
bsmx/b,banco santander mexico sa,finance
orbia,orbia advance corp s a b de cv,producer manufacturing
pinfra,promotora y operadora de infrstrctr,transportation
kof/ubl,coca-cola femsa s.a.b. de c.v.,consumer non-durables
oma/b,grupo aeroportuario del centro nort,transportation
alfa/a,alfa s.a.b. de c.v.,process industries
alpek/a,alpek sab de cv,process industries
aleatic,aleatica sab de cv,transportation
soriana/b,organizacion soriana sab de cv,retail trade
cmoctez,corporacion moctezuma sab de cv,non-energy minerals
r/a,regional sab de cv,finance
mega/cpo,megacable holdings sab de cv,communications
gcc,gcc sab de cv,non-energy minerals
bachoco/b,industrias bachoco sab de cv,process industries
lamosa,grupo lamosa sab de cv,producer manufacturing
q,qualitas controladora sab de cv,finance
vesta,corporacion inmobiliaria vesta sab,finance
alsea,alsea sab de cv,consumer services
fragua/b,corporativa fragua sab de cv,retail trade
gentera,gentera sab de cv,finance
gnp,grupo nacional provincial,finance
lasite/b-1,sitios latinoamerica sab de cv,industrial services
bafar/b,grupo bafar sab de cv,distribution services
vista/a,vista oil & gas sab de cv,energy minerals
gigante,grupo gigante sab de cv,retail trade
volar/a,controladora vuela cia de aviacion,transportation
bolsa/a,bolsa mexicana de valores sab de cv,finance
gprofut,grupo profuturo s.a.b. de c.v,finance
kuo/a,grupo kuo sab de cv,distribution services
gbm/o,corporativo gbm sab de cv,finance
traxion/a,grupo traxion sab de cv,transportation
nemak/a,nemak sab de cv,producer manufacturing
lab/b,genomma lab internacional sab,health technology
mfrisco/a-1,minera frisco sab de cv,non-energy minerals
rlh/a,rlh properties sab de cv,consumer durables
valuegf/o,value grupo financiero sab de cv,finance
agua,grupo rotoplas sab de cv,utilities
herdez,grupo herdez sab de cv,consumer non-durables
dine/a,dine s.a.b. de c.v.,finance
posadas/a,grupo posadas sab de cv,consumer services
monex/b,monex sab de cv,finance
ceramic/b,internacional de ceramica de cv,distribution services
cydsasa/a,cydsa sab de cv,process industries
gissa/a,grupo industrial saltillo sab de cv,producer manufacturing
vitro/a,vitro sab de cv,process industries
cultiba/b,organizacion cultiba sab de cv,process industries
cie/b,corp interameri entret sab de cv,consumer services
vinte,vinte viviendas integ s.a.p.i.de cv,finance
actinvr/b,corp actinver sab de cv,finance
autlan/b,cia minera autlan sab de cv,non-energy minerals
ara,consorcio ara sab,consumer durables
medica/b,medica sur sab de cv,health services
accelsa/b,accel sab de cv,transportation
axtel/cpo,axtel sab de cv,communications
hotel,grupo hotelero santa fe sab de cv,consumer services
hcity,hoteles city express sab de cv,consumer services
gicsa/b,grupo gicsa sab de cv,finance
gmd,grupo mexicano de desarrollo sab,finance
findep,financiera independencia sab,finance
cidmega,grupe sab de cv,consumer services
azteca/cpo,tv azteca sab de cv,consumer services
cmr/b,cmr sab de cv,consumer services
collado,grupo collado sab de cv,producer manufacturing
teak/cpo,proteak uno sab de cv,non-energy minerals
pochtec/b,grupo pochteca sab de cv,distribution services
vasconi,grupo vasconia s.a.b.,producer manufacturing
cadu/a,corpovael s.a. de c.v.,consumer durables
sport/s,grupo sports world sab de cv,consumer services
tmm/a,grupo tmm s.a.b.,transportation
homex,desarrolladora homex sab de cv,consumer durables
gfamsa/a,grupo famsa sab de cv,distribution services
urbi,urbi desarrollos urbanos sab de cv,finance
alterna/b,alterna asesoria intl sab de cv,industrial services
genius/21,actinver casa de bolsa sa de cv,—
vts,vitesse energy inc,—
fexi/21,banco actinver sa,finance
