symbol,name2,sector
005930,samsung elec,electronic technology
373220,lg energy solution,producer manufacturing
000660,sk hynix,electronic technology
207940,samsung biologics,health technology
051910,lg chem,process industries
006400,"samsung sdi co.,ltd.",producer manufacturing
005380,hyundai mtr,consumer durables
035420,naver,technology services
035720,kakao,commercial services
000270,kia mtr,consumer durables
068270,celltrion,health technology
005490,posco holdings,non-energy minerals
105560,kbfinancialgroup,finance
055550,shinhan financial gr,finance
028260,samsung c&t,industrial services
012330,hyundai mobis,producer manufacturing
066570,lg electronics inc.,consumer durables
086790,hana financial gr,finance
003670,posco chemical,process industries
003550,lg corp.,consumer durables
015760,kepco,utilities
323410,kakaobank,finance
032830,samsung life,finance
096770,sk innovation,energy minerals
051900,lg h&h,consumer non-durables
033780,kt&g,consumer non-durables
009150,samsung elec mech,electronic technology
034730,sk,finance
011200,hyundai merc mar,transportation
010130,kor zinc,non-energy minerals
034020,doosan enerbility,producer manufacturing
017670,sk telecom,communications
010950,s-oil,energy minerals
036570,ncsoft,technology services
018260,samsung sds,technology services
329180,hyundai heavy industries,producer manufacturing
247540,ecoprobm,producer manufacturing
091990,celltrion healthcare,health technology
003490,kal,transportation
090430,amorepacific,consumer non-durables
316140,woorifinancialgroup,finance
009830,hanwha solutions,electronic technology
000810,samsung f & m ins,finance
377300,kakaopay,commercial services
030200,kt,communications
024110,ibk,finance
259960,krafton,technology services
011170,lotte chemical corp,process industries
352820,hybe,commercial services
086280,hyundai glovis,transportation
011070,lg innotek,electronic technology
302440,skbs,health technology
138040,meritz financial,finance
066970,l&f,electronic technology
326030,skbp,health technology
000060,meritz insurance,finance
383220,f&f,consumer non-durables
009540,ksoe,producer manufacturing
097950,cj cheiljedang,transportation
402340,sksquare,finance
032640,lg uplus,communications
035250,kangwon land inc,consumer services
271560,orion,consumer non-durables
088980,mkif,finance
034220,lg display,electronic technology
251270,netmarble,technology services
028050,samsung eng,industrial services
018880,hanon systems,producer manufacturing
047810,korea aerospace,electronic technology
004020,hyundai steel,non-energy minerals
267250,hd hyundai,producer manufacturing
010140,samsung hvy ind,producer manufacturing
361610,sk ie technology,process industries
078930,gs holdings,producer manufacturing
005830,db insurance,finance
000720,hyundai eng & const,consumer durables
021240,coway,consumer durables
161390,hankook tire & technology,consumer durables
012450,hanwha aerospace,electronic technology
