symbol,name2,sector
azn,astrazeneca ord usd0.25,health technology
shel,shell plc ord eur0.07,energy minerals
hsba,hsbc holdings plc ord usd0.50,finance
ulvr,unilever plc ord gbp0.031111,consumer non-durables
rio,rio tinto ord gbp0.10,non-energy minerals
bp.,bp ord usd0.25,energy minerals
dge,diageo ord gbp0.28 101/108,consumer non-durables
glen,glencore plc ord usd0.01,distribution services
bats,british american tobacco ord gbp0.25,consumer non-durables
gsk,gsk plc ord gbp0.3125,health technology
aal,anglo american usd0.54945,non-energy minerals
rel,relx plc gbp0.1444,commercial services
rkt,reckitt benckiser group plc ord gbp0.10,consumer non-durables
ng.,national grid ord gbp0.12431289,utilities
lseg,london stock exchange group ord gbp0.06918604,finance
pru,ential gbp0.05,finance
cpg,compass group plc ord gbp0.1105,consumer services
lloy,s banking group ord gbp0.1,finance
hln,haleon plc ord gbp0.01,distribution services
nwg,natwest group plc ord gbp1.0769,finance
barc,barclays plc ord gbp0.25,finance
0hf3,amerisourcebergen corporation com stk usd0.01,distribution services
expn,experian plc ord usd0.10,commercial services
crh,crh ord eur 0.32 (cdi),non-energy minerals
ba.,bae systems ord gbp0.025,electronic technology
vod,vodafone group ord usd0.2095238,communications
aht,ashtead group ord gbp0.10,finance
fltr,flutter entertainment plc ord eur0.09 (cdi),consumer services
0liy,united rentals inc usd0.01,finance
0r2j,agnico eagle mines ltd com npv,non-energy minerals
imb,imperial brands plc gbp0.10,consumer non-durables
sse,sse plc gbp0.50,utilities
tsco,tesco ord gbp0.0633333,retail trade
anto,antofagasta ord gbp0.05,non-energy minerals
lgen,legal & general group ord gbp0.025,finance
0spt,spotify technology s.a. com eur0.000625,technology services
abf,associated british foods ord 5 15/22p,consumer non-durables
iii,3i group ord gbp0.738636,finance
0i3i,cooper cos inc com stk usd0.10,health technology
0hpw,broadridge financial solution inc com stk usd0.01,technology services
rto,rentokil initial ord gbp0.01,commercial services
bt.a,bt group ord gbp0.05,communications
av.,aviva ord gbp0.328947368,finance
ccl,carnival plc ord usd1.66,consumer services
sn.,smith & nephew ord usd0.20,health technology
bnzl,bunzl ord gbp0.32142857,distribution services
wpp,wpp plc ord gbp0.10,commercial services
ihg,intercontinental hotels group ord gbp0.208521303,consumer services
crda,croda international ord gbp0.10609756,process industries
inf,informa plc ord gbp0.001,technology services
brby,burberry group ord gbp0.0005,consumer non-durables
rr.,rolls royce holdings ord gbp0.20,electronic technology
ent,entain plc ord eur0.01,consumer services
spx,spirax-sarco engineering ord gbp0.269230769,producer manufacturing
hlma,halma ord gbp0.10,electronic technology
nxt,next ord gbp0.10,retail trade
iag,international consolidated airline ord eur0.10 (cdi),transportation
jd.,jd sports fashion plc ord gbp0.0005,retail trade
0a78,caesars entertainment inc new com usd0.00001,consumer services
sge,sage group gbp0.01051948,technology services
sdr,schroders plc,finance
mndi,mondi plc ord eur0.20,process industries
uu.,united utilities group plc ord gbp0.05,utilities
cch,coca-cola hbc ag ord chf6.70(cdi),consumer non-durables
svt,severn trent ord gbp0.9789,utilities
0jz2,masimo corporation com stk usd0.001,health technology
itrk,intertek group ord gbp0.01,commercial services
fres,fresnillo plc ord usd0.50,non-energy minerals
pson,pearson ord gbp0.25,consumer services
stj,st james's place ord gbp0.15,finance
adm,admiral group ord gbp0.001,finance
0ljn,unum group com stk usd0.10,finance
phnx,phoenix group holdings plc ord gbp0.10,finance
smin,smiths group plc ord gbp0.375,producer manufacturing
wtb,whitbread ord gbp0.76797385,consumer services
mro,melrose industries plc ord gbp0.076190476,producer manufacturing
ocdo,ocado group plc ord gbp0.02,retail trade
cna,centrica ord gbp0.061728395,utilities
wise,wise plc cls a ord gbp0.01,commercial services
sbry,sainsbury(j) ord gbp0.28571428,retail trade
auto,auto trader group plc ord gbp0.01,technology services
kgf,kingfisher ord gbp0.157142857,retail trade
ctec,convatec group plc ord gbp0.1,health technology
0r2d,kinross gold corp com npv,non-energy minerals
mng,m&g plc ord 5,finance
smds,smith(ds) ord gbp0.10,process industries
invp,investec ord gbp0.0002,finance
weir,weir group ord gbp0.125,producer manufacturing
rmv,rightmove ord gbp0.001,technology services
bkg,berkeley group hldgs ord gbp0.054141,finance
bdev,barratt developments ord gbp0.10,consumer durables
psn,persimmon ord gbp0.10,consumer durables
dcc,dcc ord eur0.25 (cdi),utilities
rs1,rs group plc ord gbp0.10,distribution services
bme,b & m european value retail sa ord gbp0.1 (di),retail trade
bez,beazley plc (uk) ord gbp0.05,finance
aaf,airtel africa plc ord usd0.5,communications
hl.,hargreaves lansdown ord gbp0.004,finance
tw.,taylor wimpey ord gbp0.01,consumer durables
abdn,abrdn plc ord gbp0.1396825396,finance
jmat,johnson matthey ord gbp1.109245,process industries
hsx,hiscox ord gbp0.065 (di),finance
inch,inchcape ord gbp0.10,retail trade
hwdn,howden joinery group plc ord gbp0.10,consumer durables
hik,hikma pharmaceuticals ord gbp0.10,health technology
mdc,mediclinic international plc ord gbp0.10,health services
imi,imi ord gbp0.28571428,producer manufacturing
n91,ninety one plc ord 001,finance
icp,intermediate capital group plc ord gbp0.2625,finance
0ugs,alamos gold inc com npv cl a,non-energy minerals
dplm,diploma plc ord gbp0.05,distribution services
ezj,easyjet ord gbp0.27285714,transportation
fras,frasers group plc ord gbp0.10,retail trade
sxs,spectris ord gbp0.05,producer manufacturing
igg,ig group hldgs ord gbp0.00005,finance
dph,dechra pharmaceuticals ord gbp0.01,health technology
itv,itv ord gbp0.10,consumer services
tate,tate & lyle ord gbp0.2916666667,consumer non-durables
gaw,games workshop group ord gbp0.05,consumer durables
mks,marks & spencer group ord gbp0.01,retail trade
emg,man group plc (new) ord usd0.0342857142,finance
rsw,renishaw ord gbp0.20,producer manufacturing
ror,rotork ord gbp0.005,producer manufacturing
wizz,wizz air hldgs plc ord gbp0.0001,transportation
indv,indivior plc ord usd0.5,health technology
0hrr,cvr energy inc com stk usd0.01,energy minerals
grg,greggs ord gbp0.02,consumer non-durables
vmuk,virgin money uk plc ord gbp0.10,finance
hbr,harbour energy plc ord gbp0.00002,energy minerals
drx,drax group plc ord gbp0.1155172,utilities
vty,vistry group plc gbp0.50,consumer durables
bwy,bellway gbp0.125,consumer durables
hcm,hutchmed (china) limited ord usd0.1,health technology
pnn,pennon group ord gbp0.6105,utilities
sct,softcat plc ord 005,technology services
dlg,direct line insurance group plc ord gbp0.109090909,finance
wosg,watches of switzerland group plc ord gbp0.0125,retail trade
poly,polymetal intl plc ord npv,non-energy minerals
enog,energean plc ord gbp0.01,energy minerals
osb,osb group plc ord gbp0.01,finance
dnlm,dunelm group plc ord gbp0.01,retail trade
tpk,travis perkins plc ord 1205105,retail trade
ont,oxford nanopore technologies plc ord gbp0.0001,electronic technology
bby,balfour beatty gbp0.50,industrial services
ccc,computacenter ord gbp0.075555,technology services
ids,intl distributions svcs plc ord gbp0.01,transportation
sspg,ssp group plc ord gbp0.01085,consumer services
bvic,britvic ord gbp0.2,consumer non-durables
smwh,wh smith plc ord gbp0.220895,retail trade
gftu,grafton group ut (1 ord eur0.05) (cdi),retail trade
gns,genus ord gbp0.10,process industries
qq.,qinetiq group ord gbp0.01,electronic technology
has,hays plc ord gbp0.01,commercial services
0r0p,blackberry ltd npv,technology services
gri,grainger plc ord gbp0.05,finance
knos,kainos group plc ord gbp0.005,technology services
ith,ithaca energy plc ord gbp0.01,energy minerals
mcro,micro focus international plc ord gbp0.10,technology services
phll,petershill partners plc ord usd0.01,finance
iwg,iwg plc ord gbp0.01,commercial services
bpt,bridgepoint group plc ord gbp0.00005,finance
futr,future plc ord gbp0.15,consumer services
srp,serco group gbp0.02,commercial services
ashm,ashmore group ord gbp0.0001,finance
plus,plus500 limited ord ils0.01 (di),finance
cwk,cranswick ord gbp0.10,consumer non-durables
roo,deliveroo plc class a ord gbp0.005,technology services
dark,darktrace plc ord gbp0.01,technology services
spt,spirent communications ord gbp0.03333,electronic technology
rdw,redrow plc ord gbp0.105,consumer durables
tep,telecom plus ord gbp0.05,utilities
lre,lancashire hldgs com shs usd0.50,finance
ptec,playtech plc ord npv,technology services
0mds,liberty latin america ltd com usd0.01 class c,communications
cbg,close bros group ord gbp0.25,finance
netw,network intl hldgs plc ord gbp0.10,finance
pets,pets at home group plc ord gbp0.01,retail trade
bab,babcock international group ord gbp0.60,electronic technology
vct,victrex ord gbp0.01,process industries
docs,dr. martens plc ord gbp0.01,consumer non-durables
trn,trainline plc ord gbp0.01,consumer services
data,globaldata plc ord gbp0.0007142,commercial services
page,pagegroup plc ord gbp0.01,commercial services
ajb,aj bell plc ord gbp0.000125,finance
