symbol,name2,sector
2330,taiwan semiconductor manufacturing,electronic technology
2317,hon hai precision industry,electronic technology
2454,mediatek inc,electronic technology
2412,chunghwa telecom,communications
6505,formosa petrochemical corporation,energy minerals
2308,delta electronic,electronic technology
2881,fubon financial hldg co ltd,finance
2882,cathay financial hldg co,finance
1303,nan ya plastic,process industries
2303,united micro electronics,electronic technology
1301,formosa plastic,process industries
2002,china steel corp,non-energy minerals
2891,ctbc financial holdings company ltd,finance
2886,mega financial holding co,finance
3711,ase technology holding co ltd,electronic technology
1326,formosa chemical & fibre co,process industries
1216,uni-president enterprises corp,retail trade
5880,taiwan cooperative financial hldgs,finance
5871,chailease holding company limited,finance
2892,first financial holding co ltd,finance
2884,e sun financial holdings,finance
2207,hotai motor co,distribution services
2603,evergreen marine corp(taiwan),transportation
2880,hua nan financial holdings co,finance
2382,quanta computer,electronic technology
2885,yuanta financial holding co. ltd.,finance
2912,president chain store corp,retail trade
3008,largan precision co,electronic technology
3045,taiwan mobile co,communications
2395,advantech co ltd,electronic technology
1101,taiwan cement,non-energy minerals
5876,the shanghai comm & savings bank,finance
2883,china development financial hldgs,finance
4904,far eastone telecommunications,communications
2327,yageo corp,electronic technology
2609,yang ming marine transport corp,transportation
6488,globalwafers co ltd,producer manufacturing
3034,novatek microelectronics,electronic technology
2615,wan hai lines,transportation
2890,sinopac financial hldgs co ltd,finance
8069,e ink holdings inc.,electronic technology
6415,silergy corp,electronic technology
1590,airtac international group,producer manufacturing
2357,asustek computer inc,electronic technology
2887,taishin financial hldgs co ltd,finance
2801,chang hwa commercial bank ltd,finance
3037,unimicron technology,electronic technology
9910,feng tay enterprise co ltd,consumer non-durables
2408,nanya technology corporation,electronic technology
1605,walsin lihwa corp,producer manufacturing
8454,momo com inc,retail trade
1402,far eastern new century corporation,process industries
4938,pegatron corporation,electronic technology
2633,taiwan high speed rail corp,transportation
2379,realtek semiconductor corp,electronic technology
2618,eva airways,transportation
8046,nan ya printed circuit board corp,electronic technology
1102,asia cement corp,non-energy minerals
2301,lite-on technology corp,electronic technology
5347,vanguard international semiconducto,electronic technology
6446,pharmaessentia corp,health technology
2345,accton technology corp,electronic technology
2888,shin kong financial hldg co,finance
9945,ruentex development co ltd,consumer durables
6669,wiwynn corporation,technology services
1476,eclat textile co,consumer non-durables
6409,voltronic power technology corp,producer manufacturing
6770,powerchip semiconductor manufacturi,commercial services
2474,catcher technology,producer manufacturing
2409,auo corporation,electronic technology
2610,china air lines,transportation
3529,ememory technology inc.,electronic technology
2105,cheng shin rubber industries,consumer durables
3481,innolux corporation,electronic technology
2834,taiwan business bank,finance
2377,micro-star international co,electronic technology
4958,zhen ding technology holding ltd,electronic technology
9904,pou chen,consumer non-durables
2347,synnex technology international,distribution services
2324,compal electronics inc,electronic technology
3443,global unichip corp.,electronic technology
4743,oneness biotech co ltd,health technology
8464,nien made enterprise co ltd,consumer durables
2356,inventec corp,electronic technology
5483,sino-american silicon products inc,producer manufacturing
3231,wistron corporation,electronic technology
2027,ta chen stainless pipe corp,non-energy minerals
2344,winbond electronic corp,electronic technology
9921,giant manufacturing co,consumer durables
3533,lotes co ltd,electronic technology
9941,yulon finance corporation,finance
3702,wpg holdings limited,distribution services
6526,airoha,electronic technology
2371,tatung co ltd,consumer durables
2360,chroma ate inc,electronic technology
3105,win semiconductors corp,electronic technology
1229,lien hwa industrial holdings corpor,process industries
5274,aspeed technology inc,electronic technology
2354,foxconn tech co,electronic technology
2353,acer inc,electronic technology
2376,giga-byte technology co,electronic technology
4966,parade technologies ltd,electronic technology
2049,hiwin technologies corp,electronic technology
2201,yulon motor co,consumer durables
8299,phison electronics corp,electronic technology
6789,visera technologies company ltd,electronic technology
2542,highwealth construction corp,finance
2915,ruentex industries,process industries
3293,international games system co,technology services
3023,sinbon electronics co ltd,distribution services
6550,polaris group,health technology
1802,taiwan glass industrial corporation,process industries
2812,taichung commercial bank,finance
2337,macronix international,electronic technology
1795,lotus pharmaceutical co,health technology
2385,chicony electronics,electronic technology
6781,advanced energy solution holding co,producer manufacturing
3661,alchip technologies limitd,electronic technology
6239,powertech technology inc,electronic technology
1504,teco electric & machinery co,producer manufacturing
2383,elite material co,producer manufacturing
2227,yulon nissan motor co.ltd,consumer durables
3532,formosa sumco technology corp,producer manufacturing
2838,union bank of taiwan,finance
1477,makalot industrial co,consumer non-durables
5269,asmedia technology inc,electronic technology
3036,wt microelectronics co ltd,distribution services
9914,merida industry,consumer durables
6121,simplo technology,producer manufacturing
2352,qisda corporation,electronic technology
5904,poya international co ltd,retail trade
6592,hotai finance co ltd,finance
1722,taiwan fertilizer co,process industries
4919,nuvoton technology corporation,electronic technology
2313,compeq manufacturing,electronic technology
3653,jentech precision industrial co.,electronic technology
3044,tripod technology corp,electronic technology
3189,kinsus interconnect technology corp,electronic technology
2498,htc corporation,electronic technology
2845,far eastern international bank,finance
6176,radiant opto-electronics corp,electronic technology
6901,diamond biofund,finance
2449,king yuan electronics co,commercial services
1434,formosa taffeta co,process industries
5903,taiwan familymart co,retail trade
6147,chipbond technology corp,electronic technology
2637,wisdom marine lines co limited,transportation
5522,farglory land development co. ltd,finance
9917,taiwan secom co,commercial services
2368,gold circuit electronics co,electronic technology
2606,u-ming marine transport corp,transportation
2889,ibf financial holdings co ltd,finance
1907,yfy inc,process industries
2006,tung ho steel enterprise corp,non-energy minerals
2014,chung hung steel co,non-energy minerals
2492,walsin technology corp,electronic technology
3035,faraday technology,electronic technology
3665,bizlink holding inc,electronic technology
3406,genius electronic optical co.ltd,electronic technology
1210,great wall enterprise,process industries
2809,king's town bank,finance
2015,feng hsin steel co ltd,non-energy minerals
8415,brighton-best internation (taiwan),distribution services
3017,asia vital components co ltd,electronic technology
2059,king slide works co,producer manufacturing
1717,eternal materials co ltd,process industries
2404,united integration services co ltd,industrial services
1314,china petrochemical development cor,process industries
2923,sino horizon holdings limited,finance
1227,standard foods corporation,consumer non-durables
3714,ennostar inc,electronic technology
3706,mitac holdings corporation,electronic technology
1513,chung hsin electric & machinery,producer manufacturing
2646,starlux air,transportation
6617,gongwin,distribution services
6271,tong hsing electronic industries lt,electronic technology
3576,united renewable energy co ltd,electronic technology
9933,ctci corp,industrial services
8478,alexander marine co ltd,consumer durables
2388,via technologies,electronic technology
6589,eirgenix inc,health technology
1503,shihlin elec & engineering,electronic technology
2707,formosa international hotels corp,consumer services
6285,wistron neweb corporation,electronic technology
2634,aerospace industrial devlpmt corp,electronic technology
6116,hannstar display corp,electronic technology
2023,yieh phui enterprise co,non-energy minerals
1904,cheng loong,process industries
2204,china motor co,consumer durables
4128,microbio co ltd,health technology
1808,run long construction co ltd,consumer durables
6491,pegavision corporation,electronic technology
6269,flexium interconnect inc,electronic technology
2903,far eastern department stores ltd,retail trade
6472,bora pharmaceuticals co ltd,health technology
6531,ap memory technology corporation,electronic technology
2504,goldsun building materials co ltd,non-energy minerals
5434,topco scientific co,electronic technology
6412,chicony power technology co ltd,electronic technology
3707,episil technologies inc,producer manufacturing
1773,shiny chemical industrial co. ltd.,process industries
2645,egat,transportation
6548,chang wah technology co ltd,producer manufacturing
2849,en tie commercial bank,finance
2451,transcend information inc,electronic technology
1409,shinkong synthetic fiber,process industries
6670,fusheng precision co ltd,consumer durables
3374,xintec inc,electronic technology
2607,evergreen intl storage transport co,transportation
2101,nan kang rubber tire,consumer durables
2106,kenda rubber industry,consumer durables
2441,greatek electronics inc,electronic technology
6456,general interface solution holding,electronic technology
1440,tainan spinning,process industries
4123,center laboratories inc,health technology
4770,allied supreme corp,process industries
3005,getac holdings corp,electronic technology
6533,andes technology corporation,technology services
9907,ton yi industrial corp,process industries
6469,great tree pharmacy co ltd,health technology
6213,iteq corp,electronic technology
2206,sanyang motor co ltd,consumer durables
9802,fulgent sun international co ltd,consumer non-durables
2723,gourmet master co ltd,consumer non-durables
3682,asia pacific telecom co ltd,communications
2458,elan microelectronics corp,electronic technology
3218,universal vision biotechnology co,health services
6278,taiwan surface mounting technology,electronic technology
4915,primax electronics ltd(new),electronic technology
3042,txc corpn,electronic technology
1319,tong yang industry,producer manufacturing
3592,raydium semi-conductor corporation,electronic technology
1304,usi corporation,process industries
4961,fitipower integrated technology inc,electronic technology
9939,taiwan hon chuan enterprise,process industries
